Gender,Annual Income,Company,Model,Transmission,Color,Price ($)
Male,1770000,Oldsmobile,Aurora,Manual,Red,34000
Male,1150000,Mitsubishi,Montero Sport,Auto,Red,39000
Male,13500,Chrysler,LHS,Auto,Pale White,20000
Male,1640000,Chevrolet,Corvette,Auto,Red,35000
Male,13500,Dodge,Ram Pickup,Auto,Pale White,45000
Female,2303000,Lincoln,Navigator,Auto,Black,19300
Male,1700000,Toyota,Land Cruiser,Auto,Red,33000
Female,834000,Infiniti,I30,Manual,Red,22001
Male,565000,Audi,A8,Manual,Black,44000
Male,13500,Volkswagen,Passat,Manual,Red,20000
Male,505000,Audi,A6,Auto,Pale White,42000
Male,550000,Volvo,C70,Auto,Black,12000
Male,1580000,Pontiac,Grand Prix,Auto,Red,19000
Male,1315000,Honda,Accord,Manual,Black,43500
Female,1590000,Chevrolet,Metro,Auto,Pale White,12000
Male,13500,Volkswagen,Cabrio,Manual,Red,25000
Male,767000,Mercury,Sable,Auto,Pale White,26000
Female,713500,Mitsubishi,Diamante,Auto,Pale White,21501
Male,13500,Toyota,4Runner,Manual,Black,25001
Male,700000,Mercedes-B,S-Class,Manual,Black,85001
Male,833800,Mercury,Cougar,Auto,Black,33800
Male,13500,Chevrolet,Lumina,Manual,Black,42000
Male,13500,Toyota,Tacoma,Manual,Pale White,24000
Male,1900000,Volvo,C70,Auto,Black,12000
Male,972000,Lexus,GS400,Auto,Pale White,25000
Female,900000,Chevrolet,Corvette,Auto,Red,45000
Male,406500,Dodge,Ram Wagon,Auto,Black,22500
Male,567000,Volvo,C70,Manual,Black,36000
Male,565000,Ford,Explorer,Auto,Pale White,42000
Male,13500,Jaguar,S-Type,Manual,Red,21000
Male,2520000,Audi,A4,Auto,Black,27000
Male,1695000,Volkswagen,Passat,Manual,Red,20500
Female,551000,Mitsubishi,3000GT,Manual,Pale White,21001
Female,685000,Volkswagen,GTI,Auto,Red,25001
Male,640000,Nissan,Altima,Auto,Red,21001
Female,585000,Audi,A6,Manual,Pale White,13000
Female,800000,Cadillac,Eldorado,Manual,Black,85000
Male,1050000,Pontiac,Sunfire,Manual,Red,43000
Male,1652000,Nissan,Maxima,Manual,Pale White,22200
Male,735000,Oldsmobile,Aurora,Manual,Red,71000
Male,1210000,Pontiac,Sunfire,Manual,Red,43000
Male,315000,Plymouth,Prowler,Manual,Pale White,16000
Male,470000,Subaru,Outback,Manual,Red,49000
Male,512000,Honda,Accord,Auto,Pale White,19000
Female,1581000,Acura,TL,Auto,Black,28100
Male,990000,Mercury,Cougar,Manual,Pale White,28000
Female,1200000,BMW,323i,Auto,Red,19000
Male,650000,Ford,Contour,Auto,Pale White,62001
Female,925000,Mitsubishi,Galant,Auto,Pale White,36001
Female,13500,Ford,Crown Victoria,Manual,Pale White,20000
Female,13500,Nissan,Frontier,Manual,Black,53000
Female,670000,Chevrolet,Malibu,Auto,Pale White,25000
Female,680000,Acura,RL,Manual,Red,31000
Female,765000,Dodge,Ram Pickup,Manual,Pale White,20000
Male,13500,Buick,Regal,Manual,Red,43000
Male,1085000,Audi,A6,Manual,Black,25500
Male,2056000,Chrysler,Concorde,Auto,Black,12600
Male,13500,Acura,RL,Auto,Black,24000
Male,13500,Pontiac,Firebird,Manual,Black,43000
Male,1700000,Buick,Regal,Auto,Black,19000
Female,642000,Oldsmobile,Intrigue,Manual,Red,37000
Male,412000,Lexus,LS400,Auto,Black,39000
Male,528000,Oldsmobile,Cutlass,Auto,Red,15000
Male,1115000,Audi,A6,Manual,Black,25500
Male,1300000,Dodge,Viper,Auto,Red,31000
Male,320000,Pontiac,Bonneville,Manual,Red,11000
Male,1500000,Chrysler,Concorde,Manual,Black,18000
Male,1260000,Buick,Century,Auto,Pale White,17000
Male,1190000,BMW,328i,Auto,Black,16000
Female,1175000,Pontiac,Sunfire,Manual,Red,43500
Male,1200000,Acura,TL,Manual,Black,21000
Female,13500,Mitsubishi,Galant,Auto,Pale White,42000
Male,915000,Plymouth,Breeze,Auto,Red,39001
Male,3350000,Ford,Escort,Auto,Red,15000
Male,1125000,Acura,RL,Manual,Red,31500
Male,13500,Pontiac,Grand Prix,Auto,Red,69000
Male,836000,Chevrolet,Prizm,Manual,Black,16000
Male,780000,Subaru,Forester,Auto,Black,22000
Male,783000,Mercury,Cougar,Auto,Black,26000
Male,13500,Cadillac,Escalade,Manual,Black,34000
Male,2020000,Oldsmobile,Intrigue,Auto,Red,39000
Male,706500,Pontiac,Sunfire,Auto,Black,18500
Male,675000,Mitsubishi,Montero Sport,Auto,Pale White,53000
Female,545000,Mercedes-B,SLK,Manual,Pale White,17000
Male,1210000,Chevrolet,Impala,Auto,Black,21000
Male,13500,Chrysler,Concorde,Auto,Black,12001
Male,13500,Dodge,Ram Pickup,Manual,Black,19000
Male,708000,Mercedes-B,S-Class,Manual,Red,21001
Female,656000,BMW,323i,Auto,Black,9001
Female,883000,Mercury,Grand Marquis,Manual,Pale White,16001
Male,965000,BMW,528i,Manual,Red,29001
Female,870000,Mitsubishi,Galant,Auto,Pale White,36001
Female,681000,BMW,528i,Auto,Pale White,62001
Female,522500,Oldsmobile,Cutlass,Auto,Red,15500
Female,972000,Plymouth,Voyager,Manual,Red,20000
Female,590000,Pontiac,Grand Prix,Auto,Red,19000
Female,450000,Toyota,Celica,Manual,Pale White,14000
Female,765000,Chevrolet,Prizm,Manual,Pale White,21000
Female,750000,Dodge,Ram Van,Auto,Pale White,15000
Male,680000,Jaguar,S-Type,Auto,Black,27001
Male,13500,Cadillac,DeVille,Auto,Red,22001
Female,510000,Lincoln,Navigator,Manual,Pale White,33001
Male,470000,Buick,Park Avenue,Manual,Black,29000
Male,945000,Lexus,LS400,Auto,Pale White,46000
Male,13500,Toyota,Sienna,Manual,Black,27000
Female,537000,Jeep,Wrangler,Auto,Red,19000
Female,850000,Porsche,Boxter,Manual,Red,24000
Male,13500,Mercedes-B,SLK,Auto,Pale White,46000
Male,900000,Mercury,Sable,Auto,Red,39000
Male,1810000,Acura,TL,Auto,Red,24000
Male,785000,Volvo,C70,Manual,Black,36000
Female,721000,Mercedes-B,S-Class,Auto,Pale White,10000
Male,782000,Chevrolet,Malibu,Auto,Black,16000
Female,1005000,Oldsmobile,Intrigue,Auto,Pale White,45500
Female,13500,Dodge,Dakota,Auto,Pale White,21000
Male,1200000,Dodge,Ram Pickup,Manual,Black,19000
Male,600000,Subaru,Outback,Manual,Red,49000
Female,1490000,Jaguar,S-Type,Manual,Pale White,20000
Male,1200000,Nissan,Maxima,Manual,Pale White,54000
Male,315000,Pontiac,Sunfire,Manual,Red,43000
Male,13500,Oldsmobile,Cutlass,Manual,Pale White,41000
Male,830000,Chevrolet,Prizm,Manual,Red,22000
Male,13500,BMW,323i,Auto,Red,22000
Male,1385000,Ford,Mustang,Manual,Red,43500
Male,981000,Chevrolet,Cavalier,Manual,Pale White,20000
Male,418000,Chrysler,300M,Auto,Red,16000
Male,585000,Volvo,S40,Auto,Black,26000
Male,13500,Ford,Explorer,Auto,Pale White,18000
Male,1900000,Toyota,Sienna,Manual,Black,12000
Male,1450000,Audi,A6,Auto,Black,27000
Male,1200000,Mercedes-B,E-Class,Auto,Pale White,31000
Male,600000,Infiniti,I30,Auto,Red,15000
Male,739000,Mercury,Grand Marquis,Auto,Black,9000
Male,683000,BMW,323i,Auto,Red,15000
Male,705000,Nissan,Sentra,Auto,Black,16000
Male,700000,Chrysler,Sebring Coupe,Manual,Pale White,26000
Male,860000,Volvo,S80,Manual,Pale White,21000
Male,886000,Chevrolet,Lumina,Manual,Black,42000
Male,960000,Mercedes-B,C-Class,Manual,Pale White,12000
Male,1160000,Mercedes-B,SLK,Manual,Pale White,17000
Female,912000,Mercedes-B,M-Class,Auto,Black,18001
Male,1115000,Lincoln,Town car,Manual,Black,17500
Male,610000,Nissan,Pathfinder,Auto,Red,21001
Male,3300000,Audi,A6,Manual,Black,15000
Male,650000,Acura,TL,Auto,Black,28000
Female,525000,Volvo,S70,Manual,Pale White,24001
Male,3450000,Ford,Mustang,Manual,Red,43000
Female,13500,Porsche,Boxter,Manual,Red,24000
Male,637000,Volvo,S70,Auto,Black,26000
Male,1336000,Honda,CR-V,Auto,Black,31600
Male,13500,Audi,A6,Manual,Pale White,13000
Male,1400000,Chrysler,LHS,Auto,Black,17000
Male,1175000,Oldsmobile,Cutlass,Auto,Red,15500
Female,13500,Chevrolet,Metro,Auto,Black,31000
Male,13500,Acura,RL,Manual,Red,34000
Female,930000,Mitsubishi,Montero Sport,Auto,Red,39000
Male,1935000,Volvo,C70,Manual,Black,17500
Male,1950000,Lincoln,Town car,Auto,Pale White,18000
Male,2250000,Mitsubishi,Galant,Auto,Pale White,36000
Male,13500,Mitsubishi,Montero,Manual,Black,16000
Male,897000,Volkswagen,GTI,Auto,Red,25000
Male,13500,Pontiac,Grand Prix,Auto,Red,69000
Male,770000,Chrysler,Sebring Coupe,Manual,Black,12001
Male,396000,Ford,Focus,Manual,Black,49000
Male,1075000,Lexus,LS400,Auto,Pale White,27500
Male,13500,Toyota,Land Cruiser,Auto,Red,12000
Male,2000000,Nissan,Frontier,Manual,Black,53000
Male,923000,Dodge,Durango,Auto,Black,19000
Male,693000,Infiniti,I30,Auto,Black,49000
Male,620000,Chevrolet,Corvette,Auto,Red,45000
Female,800000,Pontiac,Grand Am,Auto,Pale White,12000
Male,728500,Buick,LeSabre,Manual,Black,20500
Male,931000,Saab,5-Sep,Manual,Pale White,28000
Male,988000,Acura,RL,Manual,Black,18000
Female,590000,Chrysler,LHS,Auto,Pale White,21000
Male,590000,BMW,323i,Auto,Red,19000
Male,610000,Dodge,Stratus,Auto,Red,31000
Female,13500,Lexus,LS400,Auto,Pale White,27000
Male,815000,Acura,RL,Manual,Pale White,17000
Male,970000,Honda,Accord,Manual,Red,14000
Female,840000,Toyota,Celica,Manual,Pale White,14000
Female,13500,Volvo,S80,Manual,Red,25000
Male,1650000,Oldsmobile,Intrigue,Auto,Pale White,45000
Male,13500,Volkswagen,GTI,Manual,Black,25000
Male,950000,Chevrolet,Monte Carlo,Manual,Red,17000
Male,883000,Mercedes-B,S-Class,Manual,Red,21000
Male,1650000,Cadillac,Catera,Auto,Red,28000
Male,2170000,Dodge,Caravan,Auto,Black,23000
Female,571750,Mercury,Grand Marquis,Manual,Black,49750
Male,13500,BMW,528i,Manual,Pale White,14000
Male,755000,Volvo,S80,Manual,Pale White,21000
Male,13500,BMW,323i,Auto,Black,9000
Female,755000,Plymouth,Voyager,Manual,Red,20000
Male,13500,Volvo,V70,Auto,Black,39000
Male,780000,Chrysler,Sebring Coupe,Auto,Red,19000
Male,884000,Ford,Crown Victoria,Auto,Red,29000
Female,530000,BMW,528i,Manual,Pale White,16000
Male,957000,BMW,323i,Auto,Red,19000
Male,480000,Mercedes-B,SLK230,Manual,Red,71000
Male,1650000,Oldsmobile,Bravada,Auto,Red,15000
Female,600000,Audi,A6,Auto,Pale White,42000
Male,1440000,Dodge,Avenger,Auto,Red,39000
Male,955000,Pontiac,Grand Am,Auto,Pale White,26000
Female,932500,Dodge,Caravan,Auto,Black,23500
Male,1310000,Nissan,Xterra,Auto,Black,26000
Female,13500,Acura,TL,Auto,Black,23000
Male,13500,Lexus,LS400,Manual,Red,13000
Male,13500,Mitsubishi,3000GT,Auto,Red,19000
Male,1283000,Audi,A4,Auto,Black,27300
Male,642000,Mitsubishi,Montero Sport,Manual,Black,42001
Male,647000,Infiniti,I30,Auto,Red,31001
Female,13500,Mercury,Mountaineer,Auto,Pale White,21001
Male,1500000,Mitsubishi,Diamante,Manual,Black,49000
Male,1960000,Lexus,GS400,Auto,Black,12000
Male,930000,BMW,323i,Auto,Red,15000
Male,803000,Acura,RL,Manual,Black,18000
Male,560000,Honda,Odyssey,Manual,Pale White,27000
Male,13500,Oldsmobile,Intrigue,Manual,Red,25000
Female,900000,Acura,RL,Manual,Red,26000
Female,795000,Ford,Taurus,Manual,Black,69000
Male,704000,Oldsmobile,Silhouette,Manual,Pale White,14000
Male,3080000,Saturn,SW,Manual,Black,36000
Male,671000,Lincoln,Continental,Manual,Red,82000
Male,13500,Chevrolet,Impala,Manual,Red,22000
Female,13500,Saturn,LW,Auto,Pale White,18000
Female,13500,Oldsmobile,Silhouette,Manual,Pale White,14000
Female,13500,Saab,3-Sep,Auto,Red,69000
Female,370000,Volvo,S40,Auto,Black,17000
Female,890000,Volkswagen,Passat,Auto,Red,13000
Male,1590000,Dodge,Viper,Auto,Red,23000
Male,1435000,Jeep,Wrangler,Auto,Red,13500
Male,1315000,Volvo,S70,Auto,Pale White,32500
Male,730000,Oldsmobile,Silhouette,Auto,Black,60000
Male,700000,Saturn,SL,Auto,Black,11000
Male,300000,Pontiac,Grand Am,Auto,Red,31000
Male,1900000,Mercedes-B,S-Class,Manual,Black,18000
Male,920000,Honda,Passport,Manual,Pale White,27000
Female,840000,Audi,A4,Manual,Pale White,12000
Male,760000,Mitsubishi,3000GT,Auto,Red,19000
Female,852500,Acura,RL,Manual,Red,34500
Male,847500,Mitsubishi,Montero Sport,Auto,Red,39500
Male,1200000,Audi,A4,Auto,Black,27001
Female,630000,Subaru,Outback,Manual,Red,49001
Female,13500,BMW,528i,Auto,Black,31001
Male,700000,Plymouth,Neon,Auto,Pale White,27001
Female,13500,Dodge,Caravan,Auto,Black,23000
Male,13500,Chrysler,LHS,Auto,Pale White,21000
Male,13500,Mitsubishi,Diamante,Manual,Black,49000
Male,13500,Lexus,LS400,Manual,Pale White,54000
Male,13500,Chevrolet,Monte Carlo,Auto,Red,21000
Male,2000000,BMW,328i,Manual,Black,69000
Male,820000,Mitsubishi,Montero Sport,Auto,Red,39001
Female,725000,Ford,Mustang,Auto,Pale White,22000
Male,1025000,Toyota,Sienna,Manual,Black,12500
Male,1015000,Toyota,Celica,Auto,Pale White,25500
Male,500000,Volkswagen,Jetta,Auto,Red,69000
Male,550000,Toyota,Camry,Manual,Black,34000
Male,460000,Mercury,Cougar,Auto,Black,33000
Male,1185000,Volkswagen,Jetta,Manual,Pale White,45500
Male,435000,BMW,528i,Auto,Black,31000
Male,690000,Mercedes-B,SL-Class,Manual,Pale White,26000
Male,690000,Chevrolet,Camaro,Auto,Red,24000
Female,13500,Plymouth,Breeze,Auto,Red,39001
Male,625000,Oldsmobile,Silhouette,Manual,Pale White,14000
Male,955000,Audi,A6,Manual,Black,25000
Male,13500,Oldsmobile,Cutlass,Auto,Pale White,46000
Male,965000,Mercedes-B,S-Class,Auto,Black,39000
Female,840000,Nissan,Maxima,Manual,Red,16000
Male,13500,Oldsmobile,Bravada,Auto,Red,15000
Male,765000,Volkswagen,Golf,Manual,Pale White,17000
Male,1400000,BMW,528i,Manual,Pale White,16000
Male,740000,Hyundai,Sonata,Manual,Red,21000
Female,13500,Dodge,Ram Van,Auto,Pale White,15000
Male,570000,Volkswagen,Golf,Auto,Pale White,18000
Female,1010000,Volkswagen,GTI,Manual,Black,25000
Female,675000,Volkswagen,Beetle,Manual,Red,21000
Male,1105000,Toyota,Camry,Manual,Black,29500
Male,625000,Chevrolet,Lumina,Manual,Red,12000
Male,292000,Chevrolet,Corvette,Manual,Black,26000
Female,640000,Volkswagen,Jetta,Auto,Red,33000
Female,800000,Dodge,Durango,Auto,Black,19000
Male,13500,Volvo,V40,Auto,Pale White,18000
Male,599000,Pontiac,Sunfire,Manual,Red,43000
Male,550000,Mitsubishi,Montero,Manual,Black,16000
Male,995000,Mercury,Sable,Auto,Red,39000
Male,1205000,Mitsubishi,3000GT,Manual,Pale White,21500
Male,13500,Lexus,GS400,Manual,Black,53000
Female,2675000,Acura,RL,Manual,Pale White,17500
Male,1939000,Chevrolet,Malibu,Manual,Pale White,14900
Male,421500,Saab,3-Sep,Auto,Black,26500
Female,585000,Mercedes-B,SL-Class,Manual,Red,17000
Female,2050000,Chrysler,300M,Auto,Red,16000
Male,1870000,Mercury,Grand Marquis,Manual,Pale White,16000
Male,13500,Volvo,S40,Manual,Red,17000
Male,678000,Oldsmobile,Silhouette,Manual,Red,34000
Male,716000,Chevrolet,Metro,Auto,Pale White,12000
Male,1450000,Acura,Integra,Auto,Black,45000
Male,2450000,Lexus,ES300,Auto,Pale White,27001
Female,13500,Dodge,Intrepid,Manual,Black,11000
Male,900000,Nissan,Pathfinder,Manual,Pale White,16000
Male,1181000,Chevrolet,Cavalier,Manual,Pale White,14100
Male,1352000,Ford,Taurus,Manual,Black,43200
Female,1125000,Toyota,Tacoma,Manual,Pale White,24500
Male,13500,Honda,CR-V,Auto,Pale White,22000
Female,770000,Mercedes-B,SL-Class,Manual,Red,17000
Male,460000,Volkswagen,Passat,Manual,Pale White,27000
Male,651000,Dodge,Viper,Manual,Black,26000
Male,950000,Dodge,Caravan,Auto,Black,23000
Male,1086000,Chevrolet,Prizm,Manual,Red,22601
Male,1460000,Chrysler,LHS,Auto,Black,26000
Male,13500,Volvo,C70,Manual,Red,82000
Female,1320000,Toyota,Sienna,Manual,Red,19000
Male,1000000,Chrysler,LHS,Auto,Black,26000
Male,385000,Chrysler,Town & Country,Manual,Pale White,17000
Male,632000,Chevrolet,Camaro,Auto,Pale White,17000
Female,13500,Chevrolet,Corvette,Auto,Pale White,25000
Male,835000,Pontiac,Sunfire,Manual,Pale White,28000
Female,530000,Mercedes-B,S-Class,Auto,Pale White,10000
Male,1500000,Dodge,Ram Pickup,Manual,Red,25000
Female,432000,Mitsubishi,Diamante,Manual,Black,49000
Male,407500,Audi,A6,Manual,Black,15500
Female,470000,Nissan,Sentra,Auto,Black,16000
Male,670000,Saturn,LS,Auto,Pale White,45000
Male,825000,Plymouth,Neon,Auto,Pale White,27000
Male,645000,Acura,RL,Manual,Pale White,17000
Female,865000,Toyota,Sienna,Manual,Black,16000
Male,13500,Toyota,Corolla,Auto,Red,41000
Female,13500,Toyota,Camry,Auto,Red,31000
Male,13500,Dodge,Viper,Auto,Pale White,25000
Male,1222000,Mercedes-B,SLK230,Auto,Black,33200
Male,1060000,Jeep,Grand Cherokee,Auto,Pale White,36000
Male,13500,BMW,528i,Auto,Pale White,62000
Female,961500,Ford,Crown Victoria,Auto,Black,11500
Female,998000,Nissan,Frontier,Manual,Pale White,20000
Female,13500,Honda,Accord,Auto,Pale White,21000
Female,831000,Toyota,Camry,Manual,Black,29000
Male,935000,Plymouth,Breeze,Auto,Pale White,22001
Male,735000,Cadillac,Eldorado,Manual,Red,31000
Male,860000,Nissan,Altima,Auto,Pale White,20000
Male,3610000,Volvo,S40,Manual,Red,17000
Male,410000,Subaru,Outback,Auto,Red,57000
Male,13500,Chevrolet,Corvette,Auto,Pale White,25000
Male,2585000,Acura,RL,Manual,Black,18500
Male,13500,Honda,Odyssey,Manual,Pale White,27000
Male,651000,Volkswagen,GTI,Manual,Black,25000
Male,1365000,Volkswagen,Passat,Auto,Pale White,32500
Male,1100000,Hyundai,Sonata,Manual,Black,20000
Male,1625000,Volkswagen,Passat,Auto,Black,9500
Female,410000,Lexus,LX470,Manual,Pale White,54000
Male,1200000,Chevrolet,Prizm,Auto,Black,33000
Male,13500,Volkswagen,Passat,Auto,Pale White,31000
Male,13500,Lincoln,Navigator,Auto,Black,19000
Male,13500,Jaguar,S-Type,Manual,Red,45000
Male,1325000,Buick,Park Avenue,Auto,Pale White,62500
Male,1160000,Ford,Contour,Auto,Red,19000
Male,1320000,Plymouth,Voyager,Manual,Red,12000
Female,750000,Toyota,Tacoma,Auto,Pale White,53000
Male,780000,BMW,328i,Manual,Red,21000
Female,620000,Chevrolet,Metro,Auto,Black,31000
Male,13500,Volvo,S70,Manual,Red,21000
Female,13500,Dodge,Intrepid,Manual,Black,11000
Male,13500,Nissan,Frontier,Manual,Pale White,20000
Male,845000,Ford,Mustang,Manual,Red,25000
Male,13500,BMW,323i,Auto,Red,19000
Male,700000,Volkswagen,Jetta,Manual,Red,24000
Male,1032000,Hyundai,Accent,Manual,Black,18200
Male,821000,Oldsmobile,Silhouette,Manual,Red,19000
Male,13500,Pontiac,Sunfire,Manual,Red,43000
Female,13500,Mercedes-B,E-Class,Auto,Red,15000
Male,1420000,BMW,528i,Manual,Red,29000
Male,13500,Cadillac,DeVille,Auto,Red,69000
Female,424000,Chevrolet,Prizm,Manual,Black,44000
Male,1220000,Hyundai,Elantra,Manual,Pale White,26000
Male,3400000,Chrysler,Sebring Coupe,Auto,Pale White,46000
Male,1830000,Dodge,Stratus,Manual,Red,37000
Female,1041000,Oldsmobile,Cutlass,Auto,Red,41100
Female,2960000,Toyota,Corolla,Manual,Pale White,22000
Male,1918000,Chevrolet,Metro,Auto,Pale White,12800
Male,13500,Saturn,LS,Auto,Pale White,51000
Male,660000,Acura,RL,Manual,Black,18000
Male,2050000,Mercedes-B,M-Class,Manual,Pale White,41000
Female,13500,Ford,Expedition,Auto,Black,41000
Female,781000,Ford,Focus,Manual,Black,49001
Female,720000,BMW,328i,Auto,Black,16000
Male,13500,Ford,Crown Victoria,Auto,Red,29000
Male,856000,Saturn,SL,Auto,Red,20000
Male,13500,Ford,Taurus,Auto,Black,12000
Male,1097000,Ford,Windstar,Auto,Red,31700
Male,1100000,Chrysler,Concorde,Auto,Pale White,46000
Male,1270000,Mitsubishi,Montero Sport,Auto,Red,39000
Male,670000,Mercury,Mystique,Auto,Black,9000
Male,640000,Ford,Explorer,Auto,Red,41000
Male,13500,Chevrolet,Metro,Manual,Pale White,13000
Male,2025000,Dodge,Dakota,Auto,Pale White,21500
Male,1655000,Hyundai,Sonata,Manual,Pale White,13500
Male,535000,Ford,Taurus,Manual,Black,43000
Female,710000,Toyota,RAV4,Manual,Pale White,22000
Male,3050000,BMW,528i,Manual,Pale White,14000
Male,1171000,Ford,Expedition,Auto,Black,41100
Male,2050000,Chrysler,Concorde,Manual,Black,18000
Male,850000,Saturn,SC,Auto,Black,33000
Male,1501000,Volvo,S40,Manual,Red,22100
Male,13500,Ford,Focus,Manual,Black,49000
Male,700000,Mercedes-B,SLK,Manual,Pale White,17000
Male,3625000,Dodge,Avenger,Auto,Red,39500
Male,3000000,Mercury,Villager,Auto,Black,28000
Male,1235000,BMW,323i,Auto,Black,9500
Male,1425000,Nissan,Altima,Auto,Pale White,20500
Male,1650000,Ford,Explorer,Auto,Pale White,42000
Male,1400000,Pontiac,Sunfire,Manual,Pale White,28000
Male,13500,Subaru,Forester,Manual,Red,26000
Male,13500,Volkswagen,Golf,Manual,Red,25000
Female,13500,Lexus,LS400,Manual,Black,69000
Male,1200000,Volvo,C70,Manual,Red,82000
Female,13500,Porsche,Boxter,Auto,Black,26000
Male,1560000,Dodge,Ram Pickup,Auto,Pale White,45001
Male,359000,Volkswagen,Passat,Auto,Pale White,31000
Male,710000,BMW,528i,Manual,Black,21000
Male,1570000,Dodge,Durango,Manual,Red,31000
Male,1275000,Dodge,Ram Pickup,Manual,Black,19500
Female,1181000,Ford,Explorer,Auto,Pale White,18100
Male,1435000,Cadillac,DeVille,Auto,Red,69500
Female,1930000,Mitsubishi,Diamante,Auto,Pale White,21000
Male,1525000,Ford,Explorer,Auto,Red,41500
Male,1290000,Lexus,GS400,Auto,Black,12000
Female,1070000,Pontiac,Bonneville,Manual,Black,36000
Male,545000,Saturn,LW,Manual,Red,49000
Female,327500,Chevrolet,Prizm,Manual,Red,24500
Male,340000,Mitsubishi,Diamante,Auto,Pale White,21000
Male,395000,Toyota,RAV4,Manual,Black,85000
Male,1455000,Subaru,Outback,Auto,Pale White,19500
Female,340000,Chrysler,Sebring Coupe,Auto,Red,19000
Male,13500,Volvo,C70,Manual,Black,17000
Male,825000,Saturn,LS,Manual,Pale White,14000
Male,1205000,Cadillac,Catera,Auto,Pale White,75500
Female,13500,Dodge,Caravan,Auto,Pale White,38001
Female,783000,Lexus,LX470,Manual,Pale White,54000
Male,735000,Saturn,LW,Auto,Pale White,18000
Male,825000,Oldsmobile,Silhouette,Auto,Red,12000
Male,1586000,Plymouth,Prowler,Auto,Red,15600
Male,13500,Subaru,Forester,Auto,Black,22000
Male,13500,Volvo,S70,Manual,Black,22000
Male,13500,Saturn,SC,Auto,Black,33000
Female,13500,Oldsmobile,Intrigue,Auto,Pale White,45000
Male,13500,Dodge,Viper,Auto,Red,23000
Male,13500,Dodge,Ram Pickup,Manual,Pale White,16000
Male,13500,Mercedes-B,S-Class,Auto,Red,14000
Male,1000000,Mercedes-B,C-Class,Manual,Pale White,12000
Female,821000,Lincoln,Town car,Manual,Black,17000
Male,955000,Ford,Ranger,Manual,Black,25000
Male,1160000,Honda,Accord,Auto,Pale White,19000
Male,860000,Mitsubishi,3000GT,Auto,Red,19000
Male,599900,Dodge,Ram Van,Auto,Red,31900
Male,1540000,Mercury,Grand Marquis,Manual,Black,49000
Male,910000,Volvo,C70,Auto,Black,18000
Male,13500,Audi,A6,Manual,Black,85000
Male,1100000,Dodge,Dakota,Manual,Red,12000
Male,1730000,Lexus,LX470,Auto,Pale White,15000
Male,860000,BMW,323i,Manual,Red,21000
Male,1002500,Mitsubishi,3000GT,Manual,Red,24250
Female,905000,Dodge,Ram Wagon,Auto,Black,22000
Male,426000,Lexus,ES300,Auto,Pale White,27001
Female,335000,Chevrolet,Cavalier,Manual,Pale White,14000
Male,2090000,Dodge,Avenger,Auto,Red,22000
Male,13500,Mitsubishi,Diamante,Manual,Black,22000
Female,350000,Chevrolet,Corvette,Manual,Pale White,22000
Male,620000,Lincoln,Continental,Manual,Red,82000
Male,13500,Ford,Escort,Manual,Black,11000
Male,600000,Nissan,Pathfinder,Manual,Red,11000
Male,965000,Oldsmobile,Bravada,Manual,Black,36000
Male,529000,Dodge,Ram Pickup,Manual,Pale White,16000
Male,881000,Ford,Contour,Auto,Pale White,62000
Male,645000,Pontiac,Grand Am,Auto,Pale White,12000
Male,1435000,Toyota,Tacoma,Auto,Pale White,53500
Male,13500,Pontiac,Sunfire,Manual,Red,43001
Male,280000,Oldsmobile,Bravada,Manual,Black,36001
Male,400000,Volkswagen,Golf,Auto,Red,35001
Male,13500,Acura,RL,Manual,Red,26001
Male,1780000,Mitsubishi,Montero Sport,Auto,Red,39001
Male,13500,Lexus,GS300,Manual,Black,51001
Male,592500,Mercury,Grand Marquis,Manual,Pale White,16501
Male,13500,Ford,Ranger,Manual,Black,18001
Male,1180000,Volkswagen,Passat,Auto,Red,13000
Male,2415000,Infiniti,I30,Auto,Pale White,51501
Male,1600000,Chevrolet,Prizm,Manual,Red,21000
Male,749000,Pontiac,Bonneville,Auto,Red,19000
Male,1370000,Chevrolet,Corvette,Auto,Pale White,25000
Male,13500,Buick,Regal,Auto,Black,19000
Male,1272000,Ford,Explorer,Auto,Black,22200
Male,13500,Mercedes-B,CL500,Manual,Black,22000
Male,13500,Chevrolet,Cavalier,Manual,Pale White,20000
Male,892000,Chevrolet,Prizm,Manual,Black,16000
Female,13500,Mercedes-B,S-Class,Auto,Black,39000
Male,2090000,Cadillac,Escalade,Manual,Black,34001
Male,1250000,Pontiac,Bonneville,Auto,Red,19001
Male,13500,Subaru,Outback,Auto,Pale White,19001
Female,3775000,Plymouth,Prowler,Manual,Red,71501
Female,752000,BMW,323i,Auto,Red,19001
Female,13500,Dodge,Caravan,Auto,Pale White,38001
Male,2000000,Hyundai,Elantra,Manual,Red,22001
Male,1302000,Chevrolet,Monte Carlo,Manual,Red,17201
Female,753000,Lexus,LS400,Auto,Black,39001
Male,651000,Volvo,C70,Manual,Pale White,24000
Male,855000,Honda,Accord,Manual,Black,43000
Male,1185000,Plymouth,Neon,Manual,Pale White,22500
Male,735000,Mitsubishi,Diamante,Auto,Pale White,21000
Male,907800,Toyota,4Runner,Manual,Black,25800
Male,1010000,Mercedes-B,S-Class,Manual,Black,85000
Male,720000,Mitsubishi,3000GT,Manual,Pale White,21000
Male,13500,Volkswagen,GTI,Auto,Red,25000
